Territorio,Sesso,Età,Stato civile,Value
Valle d'Aosta / Vallée d'Aoste,maschi,89 anni,vedova/o,48
Valle d'Aosta / Vallée d'Aoste,femmine,89 anni,nubile/celibe,21
Valle d'Aosta / Vallée d'Aoste,femmine,89 anni,coniugata/o,34
Valle d'Aosta / Vallée d'Aoste,femmine,89 anni,divorziata/o,3
Valle d'Aosta / Vallée d'Aoste,femmine,89 anni,vedova/o,245
Liguria,maschi,89 anni,nubile/celibe,171
Liguria,maschi,89 anni,coniugata/o,1501
Liguria,maschi,89 anni,divorziata/o,39
Liguria,maschi,89 anni,vedova/o,800
Liguria,femmine,89 anni,nubile/celibe,443
Liguria,femmine,89 anni,divorziata/o,73
Liguria,femmine,89 anni,vedova/o,4095
Lombardia,maschi,89 anni,nubile/celibe,538
Lombardia,maschi,89 anni,coniugata/o,6384
Lombardia,maschi,89 anni,divorziata/o,95
Lombardia,maschi,89 anni,vedova/o,3322
Trentino Alto Adige / Südtirol,maschi,89 anni,divorziata/o,14
Trentino Alto Adige / Südtirol,femmine,89 anni,divorziata/o,20
Trentino Alto Adige / Südtirol,femmine,89 anni,vedova/o,1709
Piemonte,maschi,89 anni,vedova/o,1814
Liguria,femmine,89 anni,coniugata/o,710
Lombardia,femmine,89 anni,nubile/celibe,2136
Lombardia,femmine,89 anni,coniugata/o,2468
Lombardia,femmine,89 anni,divorziata/o,265
Lombardia,femmine,89 anni,vedova/o,18429
Trentino Alto Adige / Südtirol,maschi,89 anni,nubile/celibe,104
Trentino Alto Adige / Südtirol,maschi,89 anni,coniugata/o,682
Trentino Alto Adige / Südtirol,maschi,89 anni,vedova/o,272
Trentino Alto Adige / Südtirol,femmine,89 anni,nubile/celibe,290
Trentino Alto Adige / Südtirol,femmine,89 anni,coniugata/o,289
Veneto,maschi,89 anni,nubile/celibe,350
Veneto,maschi,89 anni,coniugata/o,3161
Veneto,maschi,89 anni,divorziata/o,39
Veneto,maschi,89 anni,vedova/o,1531
Veneto,femmine,89 anni,nubile/celibe,975
Veneto,femmine,89 anni,coniugata/o,1066
Veneto,femmine,89 anni,divorziata/o,104
Veneto,femmine,89 anni,vedova/o,9038
Friuli-Venezia Giulia,maschi,89 anni,nubile/celibe,85
Friuli-Venezia Giulia,maschi,89 anni,coniugata/o,909
Friuli-Venezia Giulia,maschi,89 anni,divorziata/o,13
Friuli-Venezia Giulia,maschi,89 anni,vedova/o,437
Friuli-Venezia Giulia,femmine,89 anni,nubile/celibe,236
Friuli-Venezia Giulia,femmine,89 anni,coniugata/o,332
Friuli-Venezia Giulia,femmine,89 anni,divorziata/o,51
Friuli-Venezia Giulia,femmine,89 anni,vedova/o,2692
Emilia-Romagna,maschi,89 anni,nubile/celibe,415
Emilia-Romagna,maschi,89 anni,coniugata/o,3660
Emilia-Romagna,maschi,89 anni,divorziata/o,46
Emilia-Romagna,maschi,89 anni,vedova/o,1866
Emilia-Romagna,femmine,89 anni,nubile/celibe,708
Emilia-Romagna,femmine,89 anni,coniugata/o,1415
Emilia-Romagna,femmine,89 anni,divorziata/o,95
Emilia-Romagna,femmine,89 anni,vedova/o,9330
Toscana,maschi,89 anni,nubile/celibe,265
Toscana,maschi,89 anni,coniugata/o,3216
Toscana,maschi,89 anni,divorziata/o,43
Toscana,maschi,89 anni,vedova/o,1591
Toscana,femmine,89 anni,nubile/celibe,573
Toscana,femmine,89 anni,coniugata/o,1260
Toscana,femmine,89 anni,divorziata/o,104
Toscana,femmine,89 anni,vedova/o,8326
Umbria,maschi,89 anni,nubile/celibe,52
Umbria,maschi,89 anni,coniugata/o,770
Umbria,maschi,89 anni,divorziata/o,6
Umbria,maschi,89 anni,vedova/o,363
Umbria,femmine,89 anni,nubile/celibe,126
Umbria,femmine,89 anni,coniugata/o,260
Umbria,femmine,89 anni,divorziata/o,25
Umbria,femmine,89 anni,vedova/o,2077
Marche,maschi,89 anni,nubile/celibe,104
Marche,maschi,89 anni,coniugata/o,1424
Marche,maschi,89 anni,divorziata/o,11
Marche,maschi,89 anni,vedova/o,596
Marche,femmine,89 anni,nubile/celibe,248
Marche,femmine,89 anni,coniugata/o,403
Marche,femmine,89 anni,divorziata/o,27
Marche,femmine,89 anni,vedova/o,3367
Lazio,maschi,89 anni,nubile/celibe,268
Lazio,maschi,89 anni,coniugata/o,3908
Lazio,maschi,89 anni,divorziata/o,64
Lazio,maschi,89 anni,vedova/o,2065
Lazio,femmine,89 anni,nubile/celibe,951
Lazio,femmine,89 anni,coniugata/o,1479
Lazio,femmine,89 anni,divorziata/o,222
Lazio,femmine,89 anni,vedova/o,9479
Abruzzo,maschi,89 anni,nubile/celibe,55
Abruzzo,maschi,89 anni,coniugata/o,1146
Abruzzo,maschi,89 anni,divorziata/o,15
Abruzzo,maschi,89 anni,vedova/o,513
Abruzzo,femmine,89 anni,nubile/celibe,225
Abruzzo,femmine,89 anni,coniugata/o,442
Abruzzo,femmine,89 anni,divorziata/o,21
Abruzzo,femmine,89 anni,vedova/o,2624
Molise,maschi,89 anni,nubile/celibe,17
Molise,maschi,89 anni,coniugata/o,288
Molise,maschi,89 anni,divorziata/o,0
Molise,maschi,89 anni,vedova/o,146
Molise,femmine,89 anni,nubile/celibe,59
Molise,femmine,89 anni,coniugata/o,117
Molise,femmine,89 anni,divorziata/o,5
Molise,femmine,89 anni,vedova/o,685
Campania,maschi,89 anni,nubile/celibe,171
Campania,maschi,89 anni,coniugata/o,2594
Campania,maschi,89 anni,divorziata/o,28
Campania,maschi,89 anni,vedova/o,1745
Campania,femmine,89 anni,nubile/celibe,868
Campania,femmine,89 anni,coniugata/o,1172
Campania,femmine,89 anni,divorziata/o,93
Campania,femmine,89 anni,vedova/o,7231
Puglia,maschi,89 anni,nubile/celibe,133
Puglia,maschi,89 anni,coniugata/o,2587
Puglia,maschi,89 anni,divorziata/o,24
Puglia,maschi,89 anni,vedova/o,1523
Puglia,femmine,89 anni,nubile/celibe,801
Puglia,femmine,89 anni,coniugata/o,1057
Puglia,femmine,89 anni,divorziata/o,44
Puglia,femmine,89 anni,vedova/o,6233
Lombardia,femmine,90 anni,divorziata/o,219
Piemonte,maschi,90 anni,nubile/celibe,268
Piemonte,maschi,90 anni,coniugata/o,2514
Piemonte,maschi,90 anni,divorziata/o,41
Piemonte,maschi,90 anni,vedova/o,1584
Piemonte,femmine,90 anni,nubile/celibe,802
Piemonte,femmine,90 anni,coniugata/o,930
Piemonte,femmine,90 anni,divorziata/o,135
Piemonte,femmine,90 anni,vedova/o,8222
Valle d'Aosta / Vallée d'Aoste,maschi,90 anni,nubile/celibe,11
Valle d'Aosta / Vallée d'Aoste,maschi,90 anni,coniugata/o,69
Valle d'Aosta / Vallée d'Aoste,maschi,90 anni,divorziata/o,3
Valle d'Aosta / Vallée d'Aoste,maschi,90 anni,vedova/o,38
Valle d'Aosta / Vallée d'Aoste,femmine,90 anni,nubile/celibe,20
Valle d'Aosta / Vallée d'Aoste,femmine,90 anni,coniugata/o,27
Valle d'Aosta / Vallée d'Aoste,femmine,90 anni,divorziata/o,3
Valle d'Aosta / Vallée d'Aoste,femmine,90 anni,vedova/o,229
Liguria,maschi,90 anni,nubile/celibe,114
Liguria,maschi,90 anni,coniugata/o,1161
Liguria,maschi,90 anni,divorziata/o,31
Liguria,maschi,90 anni,vedova/o,736
Liguria,femmine,90 anni,nubile/celibe,374
Liguria,femmine,90 anni,coniugata/o,468
Liguria,femmine,90 anni,divorziata/o,78
Liguria,femmine,90 anni,vedova/o,3619
Lombardia,maschi,90 anni,nubile/celibe,446
Lombardia,maschi,90 anni,coniugata/o,4713
Lombardia,maschi,90 anni,divorziata/o,70
Lombardia,maschi,90 anni,vedova/o,2875
Lombardia,femmine,90 anni,nubile/celibe,1930
Lombardia,femmine,90 anni,coniugata/o,1833
Lombardia,femmine,90 anni,vedova/o,16091
Trentino Alto Adige / Südtirol,maschi,90 anni,nubile/celibe,81
Trentino Alto Adige / Südtirol,maschi,90 anni,coniugata/o,526
Trentino Alto Adige / Südtirol,maschi,90 anni,divorziata/o,11
Trentino Alto Adige / Südtirol,maschi,90 anni,vedova/o,322
Trentino Alto Adige / Südtirol,femmine,90 anni,nubile/celibe,227
Trentino Alto Adige / Südtirol,femmine,90 anni,coniugata/o,175
Trentino Alto Adige / Südtirol,femmine,90 anni,divorziata/o,26
Trentino Alto Adige / Südtirol,femmine,90 anni,vedova/o,1603
Veneto,maschi,90 anni,nubile/celibe,251
Veneto,maschi,90 anni,coniugata/o,2489
Veneto,maschi,90 anni,divorziata/o,30
Veneto,maschi,90 anni,vedova/o,1304
Veneto,femmine,90 anni,nubile/celibe,892
Veneto,femmine,90 anni,coniugata/o,770
Veneto,femmine,90 anni,divorziata/o,68
Veneto,femmine,90 anni,vedova/o,8510
Friuli-Venezia Giulia,maschi,90 anni,nubile/celibe,72
Friuli-Venezia Giulia,maschi,90 anni,coniugata/o,744
Friuli-Venezia Giulia,maschi,90 anni,divorziata/o,18
Friuli-Venezia Giulia,maschi,90 anni,vedova/o,383
Friuli-Venezia Giulia,femmine,90 anni,nubile/celibe,230
Friuli-Venezia Giulia,femmine,90 anni,coniugata/o,231
Friuli-Venezia Giulia,femmine,90 anni,divorziata/o,45
Friuli-Venezia Giulia,femmine,90 anni,vedova/o,2401
Emilia-Romagna,maschi,90 anni,nubile/celibe,376
Emilia-Romagna,maschi,90 anni,coniugata/o,2828
Emilia-Romagna,maschi,90 anni,divorziata/o,46
Emilia-Romagna,maschi,90 anni,vedova/o,1659
Emilia-Romagna,femmine,90 anni,nubile/celibe,693
Emilia-Romagna,femmine,90 anni,coniugata/o,916
Emilia-Romagna,femmine,90 anni,divorziata/o,104
Emilia-Romagna,femmine,90 anni,vedova/o,8595
Toscana,maschi,90 anni,nubile/celibe,213
Toscana,maschi,90 anni,coniugata/o,2495
Toscana,maschi,90 anni,divorziata/o,28
Toscana,maschi,90 anni,vedova/o,1453
Toscana,femmine,90 anni,nubile/celibe,561
Toscana,femmine,90 anni,coniugata/o,876
Toscana,femmine,90 anni,divorziata/o,77
Toscana,femmine,90 anni,vedova/o,7637
Umbria,maschi,90 anni,nubile/celibe,56
Umbria,maschi,90 anni,coniugata/o,605
Umbria,maschi,90 anni,divorziata/o,8
Umbria,maschi,90 anni,vedova/o,351
Umbria,femmine,90 anni,nubile/celibe,109
Umbria,femmine,90 anni,coniugata/o,199
Umbria,femmine,90 anni,divorziata/o,12
Umbria,femmine,90 anni,vedova/o,1825
Marche,maschi,90 anni,nubile/celibe,88
Marche,maschi,90 anni,coniugata/o,1152
Marche,maschi,90 anni,divorziata/o,6
Marche,maschi,90 anni,vedova/o,545
Marche,femmine,90 anni,nubile/celibe,251
Marche,femmine,90 anni,coniugata/o,294
Marche,femmine,90 anni,divorziata/o,20
Marche,femmine,90 anni,vedova/o,3153
Lazio,maschi,90 anni,nubile/celibe,207
Lazio,maschi,90 anni,coniugata/o,2966
Lazio,maschi,90 anni,divorziata/o,36
Lazio,maschi,90 anni,vedova/o,1667
Lazio,femmine,90 anni,nubile/celibe,881
Lazio,femmine,90 anni,coniugata/o,1099
Lazio,femmine,90 anni,divorziata/o,146
Lazio,femmine,90 anni,vedova/o,8363
Abruzzo,maschi,90 anni,nubile/celibe,47
Abruzzo,maschi,90 anni,coniugata/o,845
Abruzzo,maschi,90 anni,divorziata/o,9
Abruzzo,maschi,90 anni,vedova/o,482
Abruzzo,femmine,90 anni,nubile/celibe,174
Abruzzo,femmine,90 anni,coniugata/o,358
Abruzzo,femmine,90 anni,divorziata/o,19
Abruzzo,femmine,90 anni,vedova/o,2352
Molise,maschi,90 anni,nubile/celibe,8
Molise,maschi,90 anni,coniugata/o,202
Molise,maschi,90 anni,divorziata/o,1
Molise,maschi,90 anni,vedova/o,117
Molise,femmine,90 anni,nubile/celibe,62
Molise,femmine,90 anni,coniugata/o,100
Molise,femmine,90 anni,divorziata/o,4
Molise,femmine,90 anni,vedova/o,587
Campania,maschi,90 anni,nubile/celibe,128
Campania,maschi,90 anni,coniugata/o,1880
Campania,maschi,90 anni,divorziata/o,19
Campania,maschi,90 anni,vedova/o,1547
Campania,femmine,90 anni,nubile/celibe,708
Campania,femmine,90 anni,coniugata/o,869
Campania,femmine,90 anni,divorziata/o,76
Campania,femmine,90 anni,vedova/o,6364
Puglia,maschi,90 anni,nubile/celibe,97
Puglia,maschi,90 anni,coniugata/o,1970
Puglia,maschi,90 anni,divorziata/o,15
Puglia,maschi,90 anni,vedova/o,1385
Puglia,femmine,90 anni,nubile/celibe,678
Puglia,femmine,90 anni,coniugata/o,778
Puglia,femmine,90 anni,divorziata/o,33
Puglia,femmine,90 anni,vedova/o,5623
Basilicata,maschi,90 anni,nubile/celibe,27
Basilicata,maschi,90 anni,coniugata/o,359
Basilicata,maschi,90 anni,divorziata/o,5
Basilicata,maschi,90 anni,vedova/o,231
Basilicata,femmine,90 anni,nubile/celibe,86
Basilicata,femmine,90 anni,coniugata/o,115
Basilicata,femmine,90 anni,divorziata/o,3
Basilicata,femmine,90 anni,vedova/o,922
Calabria,maschi,90 anni,nubile/celibe,66
Calabria,maschi,90 anni,coniugata/o,1023
Calabria,maschi,90 anni,divorziata/o,14
Calabria,maschi,90 anni,vedova/o,678
Calabria,femmine,90 anni,nubile/celibe,279
Calabria,femmine,90 anni,coniugata/o,415
Calabria,femmine,90 anni,divorziata/o,15
Calabria,femmine,90 anni,vedova/o,2697
Sicilia,maschi,90 anni,nubile/celibe,152
Sicilia,maschi,90 anni,coniugata/o,2454
Sicilia,maschi,90 anni,divorziata/o,27
Sicilia,maschi,90 anni,vedova/o,1520
Sicilia,femmine,90 anni,nubile/celibe,824
Sicilia,femmine,90 anni,coniugata/o,685
Sicilia,femmine,90 anni,divorziata/o,90
Sicilia,femmine,90 anni,vedova/o,6719
Sardegna,maschi,90 anni,nubile/celibe,137
Sardegna,maschi,90 anni,coniugata/o,912
Sardegna,maschi,90 anni,divorziata/o,8
Sardegna,maschi,90 anni,vedova/o,475
Sardegna,femmine,90 anni,nubile/celibe,505
Sardegna,femmine,90 anni,coniugata/o,283
Sardegna,femmine,90 anni,divorziata/o,21
Sardegna,femmine,90 anni,vedova/o,2457
Piemonte,maschi,91 anni,coniugata/o,1840
Piemonte,maschi,91 anni,divorziata/o,37
Piemonte,maschi,91 anni,vedova/o,1400
Piemonte,femmine,91 anni,nubile/celibe,706
Piemonte,femmine,91 anni,coniugata/o,649
Piemonte,femmine,91 anni,vedova/o,7179
Valle d'Aosta / Vallée d'Aoste,maschi,91 anni,nubile/celibe,4
Valle d'Aosta / Vallée d'Aoste,maschi,91 anni,divorziata/o,0
Valle d'Aosta / Vallée d'Aoste,maschi,91 anni,vedova/o,33
Valle d'Aosta / Vallée d'Aoste,femmine,91 anni,divorziata/o,1
Liguria,maschi,91 anni,nubile/celibe,98
Liguria,maschi,91 anni,divorziata/o,14
Liguria,femmine,91 anni,nubile/celibe,319
Liguria,femmine,91 anni,vedova/o,3113
Lombardia,maschi,91 anni,divorziata/o,45
Lombardia,femmine,91 anni,nubile/celibe,1596
Lombardia,femmine,91 anni,coniugata/o,1190
Lombardia,femmine,91 anni,divorziata/o,173
Lombardia,femmine,91 anni,vedova/o,14046
Veneto,femmine,91 anni,divorziata/o,59
Toscana,maschi,91 anni,nubile/celibe,161
Toscana,maschi,91 anni,coniugata/o,1914
Toscana,maschi,91 anni,divorziata/o,25
Toscana,maschi,91 anni,vedova/o,1297
Toscana,femmine,91 anni,nubile/celibe,503
Toscana,femmine,91 anni,coniugata/o,584
Toscana,femmine,91 anni,divorziata/o,63
Toscana,femmine,91 anni,vedova/o,6644
Umbria,maschi,91 anni,nubile/celibe,44
Umbria,maschi,91 anni,coniugata/o,472
Umbria,maschi,91 anni,divorziata/o,8
Umbria,maschi,91 anni,vedova/o,307
Umbria,femmine,91 anni,nubile/celibe,112
Umbria,femmine,91 anni,coniugata/o,158
Umbria,femmine,91 anni,divorziata/o,11
Umbria,femmine,91 anni,vedova/o,1735
Marche,maschi,91 anni,nubile/celibe,52
Marche,maschi,91 anni,coniugata/o,910
Marche,maschi,91 anni,divorziata/o,5
Marche,maschi,91 anni,vedova/o,507
Marche,femmine,91 anni,nubile/celibe,230
Marche,femmine,91 anni,coniugata/o,265
Marche,femmine,91 anni,divorziata/o,18
Marche,femmine,91 anni,vedova/o,2869
Lazio,maschi,91 anni,nubile/celibe,172
Lazio,maschi,91 anni,coniugata/o,2138
Lazio,maschi,91 anni,divorziata/o,28
Lazio,maschi,91 anni,vedova/o,1490
Lazio,femmine,91 anni,nubile/celibe,709
Lazio,femmine,91 anni,coniugata/o,860
Lazio,femmine,91 anni,divorziata/o,118
Lazio,femmine,91 anni,vedova/o,7298
Abruzzo,maschi,91 anni,nubile/celibe,46
Abruzzo,maschi,91 anni,coniugata/o,644
Abruzzo,maschi,91 anni,divorziata/o,5
Abruzzo,maschi,91 anni,vedova/o,442
Abruzzo,femmine,91 anni,nubile/celibe,172
Abruzzo,femmine,91 anni,coniugata/o,239
Abruzzo,femmine,91 anni,divorziata/o,14
Abruzzo,femmine,91 anni,vedova/o,2176
Molise,maschi,91 anni,nubile/celibe,9
Molise,maschi,91 anni,coniugata/o,162
Molise,maschi,91 anni,divorziata/o,1
Molise,maschi,91 anni,vedova/o,121
Molise,femmine,91 anni,nubile/celibe,46
Molise,femmine,91 anni,coniugata/o,88
Molise,femmine,91 anni,divorziata/o,2
Molise,femmine,91 anni,vedova/o,557
Campania,maschi,91 anni,nubile/celibe,101
Campania,maschi,91 anni,coniugata/o,1369
Campania,maschi,91 anni,divorziata/o,15
Campania,maschi,91 anni,vedova/o,1294
Campania,femmine,91 anni,nubile/celibe,630
Campania,femmine,91 anni,coniugata/o,562
Campania,femmine,91 anni,divorziata/o,48
Campania,femmine,91 anni,vedova/o,5392
Puglia,maschi,91 anni,nubile/celibe,105
Puglia,maschi,91 anni,coniugata/o,1515
Puglia,maschi,91 anni,divorziata/o,8
Puglia,maschi,91 anni,vedova/o,1218
Puglia,femmine,91 anni,nubile/celibe,567
Puglia,femmine,91 anni,coniugata/o,513
Puglia,femmine,91 anni,divorziata/o,41
Puglia,femmine,91 anni,vedova/o,4982
Basilicata,maschi,91 anni,nubile/celibe,19
Basilicata,maschi,91 anni,coniugata/o,294
Basilicata,maschi,91 anni,divorziata/o,2
Basilicata,maschi,91 anni,vedova/o,189
Basilicata,femmine,91 anni,nubile/celibe,64
Basilicata,femmine,91 anni,coniugata/o,94
Basilicata,femmine,91 anni,divorziata/o,5
Basilicata,femmine,91 anni,vedova/o,805
Calabria,maschi,91 anni,nubile/celibe,53
Calabria,maschi,91 anni,coniugata/o,752
Calabria,maschi,91 anni,divorziata/o,6
Calabria,maschi,91 anni,vedova/o,588
Calabria,femmine,91 anni,nubile/celibe,267
Calabria,femmine,91 anni,coniugata/o,278
Calabria,femmine,91 anni,divorziata/o,10
Calabria,femmine,91 anni,vedova/o,2324
Sicilia,maschi,91 anni,nubile/celibe,113
Sicilia,maschi,91 anni,coniugata/o,1805
Sicilia,maschi,91 anni,divorziata/o,25
Sicilia,maschi,91 anni,vedova/o,1286
Sicilia,femmine,91 anni,nubile/celibe,675
Sicilia,femmine,91 anni,coniugata/o,418
Sicilia,femmine,91 anni,divorziata/o,54
Sicilia,femmine,91 anni,vedova/o,5456
Sardegna,maschi,91 anni,nubile/celibe,98
Sardegna,maschi,91 anni,coniugata/o,688
Sardegna,maschi,91 anni,divorziata/o,3
Sardegna,maschi,91 anni,vedova/o,346
Sardegna,femmine,91 anni,nubile/celibe,401
Sardegna,femmine,91 anni,coniugata/o,197
Sardegna,femmine,91 anni,divorziata/o,10
Sardegna,femmine,91 anni,vedova/o,2036
Piemonte,maschi,91 anni,nubile/celibe,252
Piemonte,femmine,91 anni,divorziata/o,114
Valle d'Aosta / Vallée d'Aoste,maschi,91 anni,coniugata/o,40
Valle d'Aosta / Vallée d'Aoste,femmine,91 anni,nubile/celibe,22
Valle d'Aosta / Vallée d'Aoste,femmine,91 anni,coniugata/o,20
Valle d'Aosta / Vallée d'Aoste,femmine,91 anni,vedova/o,196
Liguria,maschi,91 anni,coniugata/o,930
Liguria,maschi,91 anni,vedova/o,587
Liguria,femmine,91 anni,coniugata/o,342
Liguria,femmine,91 anni,divorziata/o,63
Lombardia,maschi,91 anni,nubile/celibe,313
Lombardia,maschi,91 anni,coniugata/o,3549
Lombardia,maschi,91 anni,vedova/o,2438
Trentino Alto Adige / Südtirol,maschi,91 anni,nubile/celibe,62
Trentino Alto Adige / Südtirol,maschi,91 anni,coniugata/o,429
Trentino Alto Adige / Südtirol,maschi,91 anni,divorziata/o,0
Trentino Alto Adige / Südtirol,maschi,91 anni,vedova/o,237
Trentino Alto Adige / Südtirol,femmine,91 anni,nubile/celibe,244
Trentino Alto Adige / Südtirol,femmine,91 anni,coniugata/o,138
Trentino Alto Adige / Südtirol,femmine,91 anni,divorziata/o,15
Trentino Alto Adige / Südtirol,femmine,91 anni,vedova/o,1339
Veneto,maschi,91 anni,nubile/celibe,199
Veneto,maschi,91 anni,coniugata/o,1870
Veneto,maschi,91 anni,divorziata/o,26
Veneto,maschi,91 anni,vedova/o,1248
Veneto,femmine,91 anni,nubile/celibe,867
Veneto,femmine,91 anni,coniugata/o,584
Veneto,femmine,91 anni,vedova/o,7477
Friuli-Venezia Giulia,maschi,91 anni,nubile/celibe,48
Friuli-Venezia Giulia,maschi,91 anni,coniugata/o,524
Friuli-Venezia Giulia,maschi,91 anni,divorziata/o,16
Friuli-Venezia Giulia,maschi,91 anni,vedova/o,367
Friuli-Venezia Giulia,femmine,91 anni,nubile/celibe,179
Friuli-Venezia Giulia,femmine,91 anni,coniugata/o,167
Friuli-Venezia Giulia,femmine,91 anni,divorziata/o,38
Friuli-Venezia Giulia,femmine,91 anni,vedova/o,2192
Emilia-Romagna,maschi,91 anni,nubile/celibe,241
Emilia-Romagna,maschi,91 anni,coniugata/o,2104
Emilia-Romagna,maschi,91 anni,divorziata/o,35
Emilia-Romagna,maschi,91 anni,vedova/o,1509
Emilia-Romagna,femmine,91 anni,nubile/celibe,566
Emilia-Romagna,femmine,91 anni,coniugata/o,721
Emilia-Romagna,femmine,91 anni,divorziata/o,79
Emilia-Romagna,femmine,91 anni,vedova/o,7696
Umbria,maschi,92 anni,nubile/celibe,36
Umbria,maschi,92 anni,coniugata/o,338
Umbria,maschi,92 anni,divorziata/o,3
Umbria,maschi,92 anni,vedova/o,302
Umbria,femmine,92 anni,coniugata/o,95
Umbria,femmine,92 anni,divorziata/o,13
Umbria,femmine,92 anni,vedova/o,1405
Marche,maschi,92 anni,nubile/celibe,51
Marche,maschi,92 anni,coniugata/o,598
Marche,maschi,92 anni,divorziata/o,3
Marche,maschi,92 anni,vedova/o,467
Marche,femmine,92 anni,nubile/celibe,200
Marche,femmine,92 anni,coniugata/o,178
Marche,femmine,92 anni,divorziata/o,10
Marche,femmine,92 anni,vedova/o,2443
Lazio,maschi,92 anni,nubile/celibe,126
Lazio,maschi,92 anni,coniugata/o,1585
Lazio,maschi,92 anni,divorziata/o,29
Lazio,maschi,92 anni,vedova/o,1273
Lazio,femmine,92 anni,nubile/celibe,645
Lazio,femmine,92 anni,coniugata/o,574
Lazio,femmine,92 anni,divorziata/o,111
Lazio,femmine,92 anni,vedova/o,6182
Abruzzo,maschi,92 anni,nubile/celibe,33
Abruzzo,maschi,92 anni,coniugata/o,424
Abruzzo,maschi,92 anni,divorziata/o,4
Abruzzo,maschi,92 anni,vedova/o,365
Abruzzo,femmine,92 anni,vedova/o,1716
Campania,maschi,92 anni,nubile/celibe,98
Umbria,femmine,92 anni,nubile/celibe,102
Abruzzo,femmine,92 anni,nubile/celibe,139
Abruzzo,femmine,92 anni,coniugata/o,170
Abruzzo,femmine,92 anni,divorziata/o,12
Molise,maschi,92 anni,nubile/celibe,9
Molise,maschi,92 anni,coniugata/o,120
Molise,maschi,92 anni,divorziata/o,3
Molise,maschi,92 anni,vedova/o,87
Molise,femmine,92 anni,nubile/celibe,51
Molise,femmine,92 anni,coniugata/o,54
Molise,femmine,92 anni,divorziata/o,4
Molise,femmine,92 anni,vedova/o,463
Campania,maschi,92 anni,coniugata/o,961
Campania,maschi,92 anni,divorziata/o,10
Campania,maschi,92 anni,vedova/o,1054
Campania,femmine,92 anni,nubile/celibe,509
Campania,femmine,92 anni,coniugata/o,452
Campania,femmine,92 anni,divorziata/o,32
Campania,femmine,92 anni,vedova/o,4212
Puglia,maschi,92 anni,nubile/celibe,54
Puglia,maschi,92 anni,coniugata/o,1041
Puglia,maschi,92 anni,divorziata/o,10
Puglia,maschi,92 anni,vedova/o,963
Puglia,femmine,92 anni,nubile/celibe,505
Puglia,femmine,92 anni,coniugata/o,364
Puglia,femmine,92 anni,divorziata/o,34
Puglia,femmine,92 anni,vedova/o,3881
Basilicata,maschi,92 anni,nubile/celibe,9
Basilicata,maschi,92 anni,coniugata/o,172
Basilicata,maschi,92 anni,divorziata/o,1
Basilicata,maschi,92 anni,vedova/o,172
Basilicata,femmine,92 anni,nubile/celibe,62
Basilicata,femmine,92 anni,coniugata/o,54
Basilicata,femmine,92 anni,divorziata/o,1
Basilicata,femmine,92 anni,vedova/o,708
Calabria,maschi,92 anni,nubile/celibe,54
Calabria,maschi,92 anni,coniugata/o,564
Calabria,maschi,92 anni,divorziata/o,3
Calabria,maschi,92 anni,vedova/o,508
Calabria,femmine,92 anni,nubile/celibe,231
Calabria,femmine,92 anni,coniugata/o,209
Calabria,femmine,92 anni,divorziata/o,17
Calabria,femmine,92 anni,vedova/o,1959
Sicilia,maschi,92 anni,nubile/celibe,96
Sicilia,maschi,92 anni,coniugata/o,1278
Sicilia,maschi,92 anni,divorziata/o,19
Sicilia,maschi,92 anni,vedova/o,1073
Sicilia,femmine,92 anni,nubile/celibe,572
Sicilia,femmine,92 anni,coniugata/o,307
Sicilia,femmine,92 anni,divorziata/o,55
Sicilia,femmine,92 anni,vedova/o,4788
Sardegna,maschi,92 anni,nubile/celibe,98
Sardegna,maschi,92 anni,coniugata/o,507
Sardegna,maschi,92 anni,divorziata/o,2
Sardegna,maschi,92 anni,vedova/o,363
Sardegna,femmine,92 anni,nubile/celibe,350
Sardegna,femmine,92 anni,coniugata/o,137
Sardegna,femmine,92 anni,divorziata/o,6
Sardegna,femmine,92 anni,vedova/o,1731
Piemonte,maschi,92 anni,nubile/celibe,168
Piemonte,maschi,92 anni,coniugata/o,1263
Piemonte,maschi,92 anni,divorziata/o,23
Piemonte,maschi,92 anni,vedova/o,1056
Piemonte,femmine,92 anni,nubile/celibe,567
Piemonte,femmine,92 anni,coniugata/o,441
Piemonte,femmine,92 anni,divorziata/o,84
Piemonte,femmine,92 anni,vedova/o,5968
Valle d'Aosta / Vallée d'Aoste,maschi,92 anni,nubile/celibe,6
Valle d'Aosta / Vallée d'Aoste,maschi,92 anni,coniugata/o,24
Valle d'Aosta / Vallée d'Aoste,maschi,92 anni,divorziata/o,1
Valle d'Aosta / Vallée d'Aoste,maschi,92 anni,vedova/o,31
Valle d'Aosta / Vallée d'Aoste,femmine,92 anni,nubile/celibe,22
Valle d'Aosta / Vallée d'Aoste,femmine,92 anni,coniugata/o,6
Valle d'Aosta / Vallée d'Aoste,femmine,92 anni,divorziata/o,1
Valle d'Aosta / Vallée d'Aoste,femmine,92 anni,vedova/o,169
Liguria,maschi,92 anni,nubile/celibe,59
Liguria,maschi,92 anni,coniugata/o,615
Liguria,maschi,92 anni,divorziata/o,21
Liguria,maschi,92 anni,vedova/o,485
Liguria,femmine,92 anni,nubile/celibe,256
Liguria,femmine,92 anni,coniugata/o,207
Liguria,femmine,92 anni,divorziata/o,36
Liguria,femmine,92 anni,vedova/o,2728
